FactionTag,PlayerName,GridName,NumberOfSubGrids,TotalBlocks,X,Y,Z,Server
KTZ,klassekatze,DIE Weldo,1,56,-153969.375834513,-1895902.26293046,-2682455.0371362,TDRAC02
SPP,starfish prime,MagBase 05,1,44,-295918.887456237,-1986564.47405686,-2700138.348911,TDRAC02
XTS,XTerm1986,XTS Zulu base Hangar Door,3,794,-1311072.45977532,-260132.837256378,-2758845.89491779,TDRAC02
SAS,NaNo BuM,Miner1,1,43,-154963.912457206,-1823515.2523621,-2686570.80727605,TDRAC02
CHZ,cheesefish83,First,2,75,-279730.462343658,-2185001.12985254,-2807957.92045079,TDRAC02
TCO,o4mutt,TubbY Mk2,1,676,-341528.881319793,-2021702.287485,-2830135.74593031,TDRAC02
KTZ,klassekatze,Katzemining,1,156,-153852.914629994,-1895590.32119613,-2682328.94234095,TDRAC02
UFO,Saros,Backup Baseship No.2,1,432,179524.221032614,-2530005.94324672,-2757171.35456172,TDRAC02
NFC,DrivenMad,(s)Crapper,1,42,-388056.578298264,-2050479.26691922,-2615197.75380233,TDRAC02
VSI,Izual,Anything but D3,1,63,-39439.9808613277,-1998581.00945174,-2828080.64761706,TDRAC02
ERG,NoOnePanic,ERG.Styx,1,54,-522721.056989656,-2812347.16447397,-2499990.28205131,TDRAC02
RIF,Zenthian,Build Site Station,1,723,-144698.485790348,-1814146.99694755,-2689414.59628982,TDRAC02
TML,TAINT_NLD,TML Solar Explorer,1,1001,-615944.528646207,-1923656.24359715,-4304710.20267138,TDRAC02
XTS,Bob,XTS Base Privi 12,1,899,-1311093.86846673,-260090.39682669,-2758888.04652912,TDRAC02
ERG,NoOnePanic,ERG.Suckit,1,42,-522708.091319309,-2812316.90485712,-2499996.97096799,TDRAC02
ERG,Night Fox,Dragonfly,1,132,8710.3921295887,-1759531.6327327,-2660915.50989675,TDRAC02
XTS,XTerm1986,XTS Rochester 01,1,1035,-1311058.07244622,-260038.415137237,-2758855.38124591,TDRAC02
ERG,Kittamaru,Space Bunker 6x,1,196,-497128.29876756,-1947183.66351687,-1771648.1796468,TDRAC02
ERG,Kittamaru,Constructor 01,1,86,-466057.335495869,-1958607.0842695,-1813589.8504822,TDRAC02
PMG,Max,Nuka's Pebble - Refining & Backup Base,1,44,-299465.963336188,-2183758.92603472,-2811664.13387732,TDRAC02
UFO,Saros,The Doom Star Sub-5552 01 01 01 01 01,1,548,199205.958082731,-2534141.49165698,-2832415.23046826,TDRAC02
TCO,o4mutt,Dirty Hole 01,8,592,-341500.32006553,-2021664.13676659,-2830154.59648222,TDRAC02
RIF,Zenthian,Transport Tanks,1,92,-144737.741070487,-1814144.95841679,-2689392.83803777,TDRAC02
